,0
0,bu
1,pa
2,da
3,pi
4,tu
5,bi
6,ta
7,ti
8,du
9,bu
10,pa
11,da
12,ta
13,ti
14,du
15,bu
16,pa
17,da
18,ta
19,ti
20,du
21,pi
22,tu
23,bi
24,di
25,ba
26,pu
27,ta
28,ti
29,du
30,di
31,ba
32,pu
33,pi
34,tu
35,bi
36,bu
37,pa
38,da
39,ta
40,ti
41,du
42,bu
43,pa
44,da
45,pi
46,tu
47,bi
48,ta
49,ti
50,du
51,di
52,ba
53,pu
54,ta
55,ti
56,du
57,di
58,ba
59,pu
60,bu
61,pa
62,da
63,ta
64,ti
65,du
66,bu
67,pa
68,da
69,di
70,ba
71,pu
72,pi
73,tu
74,bi
75,di
76,ba
77,pu
78,bu
79,pa
80,da
81,ta
82,ti
83,du
84,bu
85,pa
86,da
87,pi
88,tu
89,bi
90,ta
91,ti
92,du
93,bu
94,pa
95,da
96,ta
97,ti
98,du
99,di
100,ba
101,pu
102,ta
103,ti
104,du
105,pi
106,tu
107,bi
108,di
109,ba
110,pu
111,bu
112,pa
113,da
114,pi
115,tu
116,bi
117,di
118,ba
119,pu
120,bu
121,pa
122,da
123,pi
124,tu
125,bi
126,di
127,ba
128,pu
129,ta
130,ti
131,du
132,bu
133,pa
134,da
135,pi
136,tu
137,bi
138,ta
139,ti
140,du
141,pi
142,tu
143,bi
144,bu
145,pa
146,da
147,pi
148,tu
149,bi
150,bu
151,pa
152,da
153,di
154,ba
155,pu
156,pi
157,tu
158,bi
159,di
160,ba
161,pu
162,ta
163,ti
164,du
165,pi
166,tu
167,bi
168,bu
169,pa
170,da
171,ta
172,ti
173,du
174,di
175,ba
176,pu
177,bu
178,pa
179,da
180,di
181,ba
182,pu
183,pi
184,tu
185,bi
186,ta
187,ti
188,du
189,pi
190,tu
191,bi
192,ta
193,ti
194,du
195,di
196,ba
197,pu
198,bu
199,pa
200,da
201,di
202,ba
203,pu
204,ta
205,ti
206,du
207,pi
208,tu
209,bi
210,di
211,ba
212,pu
213,pi
214,tu
215,bi
216,ta
217,ti
218,du
219,bu
220,pa
221,da
222,pi
223,tu
224,bi
225,bu
226,pa
227,da
228,ta
229,ti
230,du
231,pi
232,tu
233,bi
234,bu
235,pa
236,da
237,di
238,ba
239,pu
240,pi
241,tu
242,bi
243,bu
244,pa
245,da
246,di
247,ba
248,pu
249,pi
250,tu
251,bi
252,bu
253,pa
254,da
255,ta
256,ti
257,du
258,di
259,ba
260,pu
261,pi
262,tu
263,bi
264,di
265,ba
266,pu
267,bu
268,pa
269,da
270,pi
271,tu
272,bi
273,ta
274,ti
275,du
276,pi
277,tu
278,bi
279,di
280,ba
281,pu
282,pi
283,tu
284,bi
285,bu
286,pa
287,da
288,di
289,ba
290,pu
291,ta
292,ti
293,du
294,pi
295,tu
296,bi
297,di
298,ba
299,pu
300,pi
301,tu
302,bi
303,ta
304,ti
305,du
306,di
307,ba
308,pu
309,bu
310,pa
311,da
312,di
313,ba
314,pu
315,ta
316,ti
317,du
318,di
319,ba
320,pu
321,bu
322,pa
323,da
324,di
325,ba
326,pu
327,ta
328,ti
329,du
330,pi
331,tu
332,bi
333,ta
334,ti
335,du
336,di
337,ba
338,pu
339,ta
340,ti
341,du
342,di
343,ba
344,pu
345,ta
346,ti
347,du
348,bu
349,pa
350,da
351,ta
352,ti
353,du
354,bu
355,pa
356,da
357,di
358,ba
359,pu
360,bu
361,pa
362,da
363,pi
364,tu
365,bi
366,bu
367,pa
368,da
369,pi
370,tu
371,bi
372,bu
373,pa
374,da
375,ta
376,ti
377,du
378,pi
379,tu
380,bi
381,di
382,ba
383,pu
384,bu
385,pa
386,da
387,di
388,ba
389,pu
390,pi
391,tu
392,bi
393,ta
394,ti
395,du
396,bu
397,pa
398,da
